,Name,State,Term,Party
13096,"THOMPSON, Theo Ashton",Louisiana,89th Congress (1965-1967),Democrat
13097,"THOMAS, Albert",Texas,89th Congress (1965-1967),Democrat
13098,"PICKLE, James Jarrell (Jake)",Texas,89th Congress (1965-1967),Democrat
13099,"CHELF, Frank Leslie",Kentucky,89th Congress (1965-1967),Democrat
13100,"RACE, John Abner",Wisconsin,89th Congress (1965-1967),Democrat
13101,"EVERETT, Robert Ashton",Tennessee,89th Congress (1965-1967),Democrat
13102,"WALKER, E. S. Johnny",New Mexico,89th Congress (1965-1967),Democrat
13103,"WATTS, John Clarence",Kentucky,89th Congress (1965-1967),Democrat
13104,"WELTNER, Charles Longstreet",Georgia,89th Congress (1965-1967),Democrat
13105,"WILLIS, Edwin Edward",Louisiana,89th Congress (1965-1967),Democrat
13106,"CABELL, Earle",Texas,89th Congress (1965-1967),Democrat
13107,"DAVIS, John William",Georgia,89th Congress (1965-1967),Democrat
13108,"STEPHENS, Robert Grier, Jr.",Georgia,89th Congress (1965-1967),Democrat
13109,"TUTEN, James Russell",Georgia,89th Congress (1965-1967),Democrat
13110,"COOLEY, Harold Dunbar",North Carolina,89th Congress (1965-1967),Democrat
13111,"RANDALL, William Joseph",Missouri,89th Congress (1965-1967),Democrat
13112,"HARRIS, Oren",Arkansas,89th Congress (1965-1967),Democrat
13113,"MATTHEWS, Donald Ray (Billy)",Florida,89th Congress (1965-1967),Democrat
13114,"FUQUA, Don",Florida,89th Congress (1965-1967),Democrat
13115,"FALLON, George Hyde",Maryland,89th Congress (1965-1967),Democrat
13116,"HAMILTON, Lee Herbert",Indiana,89th Congress (1965-1967),Democrat
13117,"MAHON, George Herman",Texas,89th Congress (1965-1967),Democrat
13118,"PIKE, Otis Grey",New York,89th Congress (1965-1967),Democrat
13119,"WHITTEN, Jamie Lloyd",Mississippi,89th Congress (1965-1967),Democrat
13120,"HARDY, Porter, Jr.",Virginia,89th Congress (1965-1967),Democrat
13121,"BONNER, Herbert Covington",North Carolina,89th Congress (1965-1967),Democrat
13122,"STRATTON, Samuel Studdiford",New York,89th Congress (1965-1967),Democrat
13123,"MOELLER, Walter Henry",Ohio,89th Congress (1965-1967),Democrat
13124,"WHITE, Richard Crawford",Texas,89th Congress (1965-1967),Democrat
13125,"LANDRUM, Phillip Mitchell",Georgia,89th Congress (1965-1967),Democrat
13126,"ROBERTS, Herbert Ray",Texas,89th Congress (1965-1967),Democrat
13127,"SIKES, Robert Lee Fulton",Florida,89th Congress (1965-1967),Democrat
13128,"JONES, Paul Caruthers",Missouri,89th Congress (1965-1967),Democrat
13129,"GETTYS, Thomas Smithwick",South Carolina,89th Congress (1965-1967),Democrat
13130,"HULL, William Raleigh, Jr.",Missouri,89th Congress (1965-1967),Democrat
13131,"HENDERSON, David Newton",North Carolina,89th Congress (1965-1967),Democrat
13132,"TEAGUE, Olin Earl",Texas,89th Congress (1965-1967),Democrat
13133,"CASEY, Robert Randolph",Texas,89th Congress (1965-1967),Democrat
13134,"HALPERN, Seymour",New York,89th Congress (1965-1967),Republican
13135,"RIVERS, Lucius Mendel",South Carolina,89th Congress (1965-1967),Democrat
13136,"BENNETT, Charles Edward",Florida,89th Congress (1965-1967),Democrat
13137,"ROGERS, Paul Grant",Florida,89th Congress (1965-1967),Democrat
13138,"POAGE, William Robert",Texas,89th Congress (1965-1967),Democrat
13139,"HÉBERT, Felix Edward",Louisiana,89th Congress (1965-1967),Democrat
13140,"SECREST, Robert Thompson",Ohio,89th Congress (1965-1967),Democrat
13141,"HAGAN, George Elliott",Georgia,89th Congress (1965-1967),Democrat
13142,"SELDEN, Armistead Inge, Jr.",Alabama,89th Congress (1965-1967),Democrat
13143,"JACOBS, Andrew, Jr.",Indiana,89th Congress (1965-1967),Democrat
13144,"KUPFERMAN, Theodore Roosevelt",New York,89th Congress (1965-1967),Republican
13145,"TAYLOR, Roy Arthur",North Carolina,89th Congress (1965-1967),Democrat
13146,"REID, Ogden Rogers",New York,89th Congress (1965-1967),Republican
13147,"KORNEGAY, Horace Robinson",North Carolina,89th Congress (1965-1967),Democrat
13148,"DOWNING, Thomas Nelms",Virginia,89th Congress (1965-1967),Democrat
13149,"BARING, Walter Stephan, Jr.",Nevada,89th Congress (1965-1967),Democrat
13150,"PASSMAN, Otto Ernest",Louisiana,89th Congress (1965-1967),Democrat
13151,"ROGERS, Walter Edward",Texas,89th Congress (1965-1967),Democrat
13152,"McMILLAN, John Lanneau",South Carolina,89th Congress (1965-1967),Democrat
13153,"FOUNTAIN, Lawrence H.",North Carolina,89th Congress (1965-1967),Democrat
13154,"TUPPER, Stanley Roger",Maine,89th Congress (1965-1967),Republican
13155,"MURRAY, Thomas Jefferson",Tennessee,89th Congress (1965-1967),Democrat
13156,"MATHIAS, Charles McCurdy, Jr.",Maryland,89th Congress (1965-1967),Republican
13157,"ANDREWS, George William",Alabama,89th Congress (1965-1967),Democrat
13158,"WHITENER, Basil Lee",North Carolina,89th Congress (1965-1967),Democrat
13159,"LONG, Speedy Oteria",Louisiana,89th Congress (1965-1967),Democrat
13160,"CONTE, Silvio Ottavio",Massachusetts,89th Congress (1965-1967),Republican
13161,"DORN, William Jennings Bryan",South Carolina,89th Congress (1965-1967),Democrat
13162,"JARMAN, John",Oklahoma,89th Congress (1965-1967),Democrat
13163,"LINDSAY, John Vliet",New York,89th Congress (1965-1967),Republican
13164,"HERLONG, Albert Sydney, Jr.",Florida,89th Congress (1965-1967),Democrat
13165,"HORTON, Frank Jefferson",New York,89th Congress (1965-1967),Republican
13166,"SCOTT, Ralph James",North Carolina,89th Congress (1965-1967),Democrat
13167,"FLYNT, John James, Jr.",Georgia,89th Congress (1965-1967),Democrat
13168,"ICHORD, Richard Howard, II",Missouri,89th Congress (1965-1967),Democrat
13169,"BURLESON, Omar Truman",Texas,89th Congress (1965-1967),Democrat
13170,"GATHINGS, Ezekiel Candler",Arkansas,89th Congress (1965-1967),Democrat
13171,"FULTON, James Grove",Pennsylvania,89th Congress (1965-1967),Republican
13172,"WAGGONNER, Joseph David, Jr.",Louisiana,89th Congress (1965-1967),Democrat
13173,"O'NEAL, Maston Emmett, Jr.",Georgia,89th Congress (1965-1967),Democrat
13174,"POOL, Joe Richard",Texas,89th Congress (1965-1967),Democrat
13175,"SCHWEIKER, Richard Schultz",Pennsylvania,89th Congress (1965-1967),Republican
13176,"SMITH, Howard Worth",Virginia,89th Congress (1965-1967),Democrat
13177,"FISHER, Ovie Clark",Texas,89th Congress (1965-1967),Democrat
13178,"MORSE, Frank Bradford",Massachusetts,89th Congress (1965-1967),Republican
13179,"LENNON, Alton Asa",North Carolina,89th Congress (1965-1967),Democrat
13180,"FINO, Paul Albert",New York,89th Congress (1965-1967),Republican
13181,"ABERNETHY, Thomas Gerstle",Mississippi,89th Congress (1965-1967),Democrat
13182,"COLMER, William Meyers",Mississippi,89th Congress (1965-1967),Democrat
13183,"STAFFORD, Robert Theodore",Vermont,89th Congress (1965-1967),Republican
13184,"BALDWIN, John Finley, Jr.",California,89th Congress (1965-1967),Republican
13185,"ASHMORE, Robert Thomas",South Carolina,89th Congress (1965-1967),Democrat
13186,"O'KONSKI, Alvin Edward",Wisconsin,89th Congress (1965-1967),Republican
13187,"DWYER, Florence Price",New Jersey,89th Congress (1965-1967),Republican
13188,"CORBETT, Robert James",Pennsylvania,89th Congress (1965-1967),Republican
13189,"CARTER, Tim Lee",Kentucky,89th Congress (1965-1967),Republican
13190,"DOWDY, John Vernard",Texas,89th Congress (1965-1967),Democrat
13191,"ANDREWS, Mark",North Dakota,89th Congress (1965-1967),Republican
13192,"CAHILL, William Thomas",New Jersey,89th Congress (1965-1967),Republican
13193,"ABBITT, Watkins Moorman",Virginia,89th Congress (1965-1967),Democrat
13194,"McDADE, Joseph Michael",Pennsylvania,89th Congress (1965-1967),Republican
13195,"HALEY, James Andrew",Florida,89th Congress (1965-1967),Democrat
13196,"MARSH, John Otho, Jr.",Virginia,89th Congress (1965-1967),Democrat
13197,"WYATT, Wendell",Oregon,89th Congress (1965-1967),Republican
13198,"MAILLIARD, William Somers",California,89th Congress (1965-1967),Republican
13199,"WIDNALL, William Beck",New Jersey,89th Congress (1965-1967),Republican
13200,"WILLIAMS, John Bell",Mississippi,89th Congress (1965-1967),Democrat
13201,"SAYLOR, John Phillips",Pennsylvania,89th Congress (1965-1967),Republican
13202,"STANTON, John William",Ohio,89th Congress (1965-1967),Republican
13203,"AYRES, William Hanes",Ohio,89th Congress (1965-1967),Republican
13204,"MOORE, Arch Alfred, Jr.",West Virginia,89th Congress (1965-1967),Republican
13205,"PIRNIE, Alexander",New York,89th Congress (1965-1967),Republican
13206,"WATSON, Albert William",South Carolina,89th Congress (1965-1967),Democrat
13207,"BUCHANAN, John Hall, Jr.",Alabama,89th Congress (1965-1967),Republican
13208,"ELLSWORTH, Robert Fred",Kansas,89th Congress (1965-1967),Republican
13209,"KEITH, Hastings",Massachusetts,89th Congress (1965-1967),Republican
13210,"CURTIN, Willard Sevier",Pennsylvania,89th Congress (1965-1967),Republican
13211,"KUNKEL, John Crain",Pennsylvania,89th Congress (1965-1967),Republican
13212,"BROYHILL, Joel Thomas",Virginia,89th Congress (1965-1967),Republican
13213,"CLAUSEN, Donald Holst",California,89th Congress (1965-1967),Republican
13214,"REIFEL, Benjamin",South Dakota,89th Congress (1965-1967),Republican
13215,"TUCK, William Munford",Virginia,89th Congress (1965-1967),Democrat
13216,"FRELINGHUYSEN, Peter Hood Ballantine, Jr.",New Jersey,89th Congress (1965-1967),Republican
13217,"MAY, Catherine Dean",Washington,89th Congress (1965-1967),Republican
13218,"MIZE, Chester Louis",Kansas,89th Congress (1965-1967),Republican
13219,"SHRIVER, Garner E.",Kansas,89th Congress (1965-1967),Republican
13220,"EDWARDS, William Jackson (Jack)",Alabama,89th Congress (1965-1967),Republican
13221,"MOSHER, Charles Adams",Ohio,89th Congress (1965-1967),Republican
13222,"BURTON, Laurence Junior",Utah,89th Congress (1965-1967),Republican
13223,"ANDERSON, John Bayard",Illinois,89th Congress (1965-1967),Republican
13224,"BELL, Alphonzo",California,89th Congress (1965-1967),Republican
13225,"SPRINGER, William Lee",Illinois,89th Congress (1965-1967),Republican
13226,"PELLY, Thomas Minor",Washington,89th Congress (1965-1967),Republican
13227,"HARSHA, William Howard",Ohio,89th Congress (1965-1967),Republican
13228,"QUIE, Albert Harold",Minnesota,89th Congress (1965-1967),Republican
13229,"SKUBITZ, Joe",Kansas,89th Congress (1965-1967),Republican
13230,"WHALLEY, John Irving",Pennsylvania,89th Congress (1965-1967),Republican
13231,"DUNCAN, John James",Tennessee,89th Congress (1965-1967),Republican
13232,"BATES, William Henry",Massachusetts,89th Congress (1965-1967),Republican
13233,"JOHNSON, Albert Walter",Pennsylvania,89th Congress (1965-1967),Republican
13234,"HARVEY, James",Michigan,89th Congress (1965-1967),Republican
13235,"MARTIN, Joseph William, Jr.",Massachusetts,89th Congress (1965-1967),Republican
13236,"GUBSER, Charles Samuel",California,89th Congress (1965-1967),Republican
13237,"MORTON, Rogers Clark Ballard",Maryland,89th Congress (1965-1967),Republican
13238,"CUNNINGHAM, Glenn Clarence",Nebraska,89th Congress (1965-1967),Republican
13239,"CLEVELAND, James Colgate",New Hampshire,89th Congress (1965-1967),Republican
13240,"CRAMER, William Cato",Florida,89th Congress (1965-1967),Republican
13241,"RHODES, John Jacob",Arizona,89th Congress (1965-1967),Republican
13242,"BROOMFIELD, William S.",Michigan,89th Congress (1965-1967),Republican
13243,"BOLTON, Frances Payne",Ohio,89th Congress (1965-1967),Republican
13244,"SMITH, Henry P., III",New York,89th Congress (1965-1967),Republican
13245,"THOMSON, Vernon Wallace",Wisconsin,89th Congress (1965-1967),Republican
13246,"REINECKE, Edwin",California,89th Congress (1965-1967),Republican
13247,"McEWEN, Robert Cameron",New York,89th Congress (1965-1967),Republican
13248,"BATTIN, James Franklin",Montana,89th Congress (1965-1967),Republican
13249,"BRAY, William Gilmer",Indiana,89th Congress (1965-1967),Republican
13250,"TEAGUE, Charles McKevett",California,89th Congress (1965-1967),Republican
13251,"QUILLEN, James Henry",Tennessee,89th Congress (1965-1967),Republican
13252,"FINDLEY, Paul",Illinois,89th Congress (1965-1967),Republican
13253,"CHAMBERLAIN, Charles Ernest",Michigan,89th Congress (1965-1967),Republican
13254,"VANDER JAGT, Guy Adrian",Michigan,89th Congress (1965-1967),Republican
13255,"GROVER, James Russell, Jr.",New York,89th Congress (1965-1967),Republican
13256,"TALCOTT, Burt Lacklen",California,89th Congress (1965-1967),Republican
13257,"GOODELL, Charles Ellsworth",New York,89th Congress (1965-1967),Republican
13258,"McCLORY, Robert",Illinois,89th Congress (1965-1967),Republican
13259,"ANDREWS, Arthur Glenn",Alabama,89th Congress (1965-1967),Republican
13260,"ROBISON, Howard Winfield",New York,89th Congress (1965-1967),Republican
13261,"WILSON, Robert Carlton (Bob)",California,89th Congress (1965-1967),Republican
13262,"SATTERFIELD, David Edward, III",Virginia,89th Congress (1965-1967),Democrat
13263,"POFF, Richard Harding",Virginia,89th Congress (1965-1967),Republican
13264,"ADAIR, Edwin Ross",Indiana,89th Congress (1965-1967),Republican
13265,"NELSEN, Ancher",Minnesota,89th Congress (1965-1967),Republican
13266,"BROYHILL, James Thomas",North Carolina,89th Congress (1965-1967),Republican
13267,"CEDERBERG, Elford Albin",Michigan,89th Congress (1965-1967),Republican
13268,"HALLECK, Charles Abraham",Indiana,89th Congress (1965-1967),Republican
13269,"MacGREGOR, Clark",Minnesota,89th Congress (1965-1967),Republican
13270,"BELCHER, Page Henry",Oklahoma,89th Congress (1965-1967),Republican
13271,"HOSMER, Craig",California,89th Congress (1965-1967),Republican
13272,"WYDLER, John Waldemar",New York,89th Congress (1965-1967),Republican
13273,"FORD, Gerald Rudolph, Jr.",Michigan,89th Congress (1965-1967),Republican
13274,"WATKINS, George Robert",Pennsylvania,89th Congress (1965-1967),Republican
13275,"DAGUE, Paul Bartram",Pennsylvania,89th Congress (1965-1967),Republican
13276,"McCULLOCH, William Moore",Ohio,89th Congress (1965-1967),Republican
13277,"YOUNGER, Jesse Arthur",California,89th Congress (1965-1967),Republican
13278,"LANGEN, Odin Elsford Stanley",Minnesota,89th Congress (1965-1967),Republican
13279,"BROWN, Clarence J., Jr.",Ohio,89th Congress (1965-1967),Republican
13280,"ARENDS, Leslie Cornelius",Illinois,89th Congress (1965-1967),Republican
13281,"JONAS, Charles Raper",North Carolina,89th Congress (1965-1967),Republican
13282,"HARVEY, Ralph",Indiana,89th Congress (1965-1967),Republican
13283,"GURNEY, Edward John",Florida,89th Congress (1965-1967),Republican
13284,"MINSHALL, William Edwin, Jr.",Ohio,89th Congress (1965-1967),Republican
13285,"ROUDEBUSH, Richard Lowell",Indiana,89th Congress (1965-1967),Republican
13286,"ERLENBORN, John Neal",Illinois,89th Congress (1965-1967),Republican
13287,"DOLE, Robert Joseph",Kansas,89th Congress (1965-1967),Republican
13288,"KING, Carleton James",New York,89th Congress (1965-1967),Republican
13289,"BERRY, Ellis Yarnal",South Dakota,89th Congress (1965-1967),Republican
13290,"GRIFFIN, Robert Paul",Michigan,89th Congress (1965-1967),Republican
13291,"BYRNES, John William",Wisconsin,89th Congress (1965-1967),Republican
13292,"MARTIN, David Thomas",Nebraska,89th Congress (1965-1967),Republican
13293,"DERWINSKI, Edward Joseph",Illinois,89th Congress (1965-1967),Republican
13294,"BROCK, William Emerson, III",Tennessee,89th Congress (1965-1967),Republican
13295,"LIPSCOMB, Glenard Paul",California,89th Congress (1965-1967),Republican
13296,"BETTS, Jackson Edward",Ohio,89th Congress (1965-1967),Republican
13297,"REID, Charlotte Thompson",Illinois,89th Congress (1965-1967),Republican
13298,"RUMSFELD, Donald Henry",Illinois,89th Congress (1965-1967),Republican
13299,"CALLAWAY, Howard Hollis (Bo)",Georgia,89th Congress (1965-1967),Republican
13300,"CONABLE, Barber Benjamin, Jr.",New York,89th Congress (1965-1967),Republican
13301,"MICHEL, Robert Henry",Illinois,89th Congress (1965-1967),Republican
13302,"BOW, Frank Townsend",Ohio,89th Congress (1965-1967),Republican
13303,"COLLIER, Harold Reginald",Illinois,89th Congress (1965-1967),Republican
13304,"BROWN, Clarence J.",Ohio,89th Congress (1965-1967),Republican
13305,"SCHNEEBELI, Herman Theodore",Pennsylvania,89th Congress (1965-1967),Republican
13306,"LATTA, Delbert Leroy",Ohio,89th Congress (1965-1967),Republican
13307,"DICKINSON, William Louis",Alabama,89th Congress (1965-1967),Republican
13308,"CLANCY, Donald Daniel",Ohio,89th Congress (1965-1967),Republican
13309,"LAIRD, Melvin Robert",Wisconsin,89th Congress (1965-1967),Republican
13310,"SMITH, H. Allen",California,89th Congress (1965-1967),Republican
13311,"DAVIS, Glenn Robert",Wisconsin,89th Congress (1965-1967),Republican
13312,"HUTCHINSON, J. Edward",Michigan,89th Congress (1965-1967),Republican
13313,"CLAWSON, Delwin Morgan",California,89th Congress (1965-1967),Republican
13314,"UTT, James Boyd",California,89th Congress (1965-1967),Republican
13315,"DEVINE, Samuel Leeper",Ohio,89th Congress (1965-1967),Republican
13316,"CURTIS, Thomas Bradford",Missouri,89th Congress (1965-1967),Republican
13317,"WALKER, Prentiss Lafayette",Mississippi,89th Congress (1965-1967),Republican
13318,"MARTIN, James Douglas",Alabama,89th Congress (1965-1967),Republican
13319,"ASHBROOK, John Milan",Ohio,89th Congress (1965-1967),Republican
13320,"HANSEN, George Vernon",Idaho,89th Congress (1965-1967),Republican
13321,"HALL, Durward Gorham",Missouri,89th Congress (1965-1967),Republican
13322,"GROSS, Harold Royce",Iowa,89th Congress (1965-1967),Republican
13323,"CONYERS, John, Jr.",Michigan,90th Congress (1967-1969),Democrat
13324,"BURTON, Phillip",California,90th Congress (1967-1969),Democrat
13325,"RYAN, William Fitts",New York,90th Congress (1967-1969),Democrat
13326,"ROYBAL, Edward R.",California,90th Congress (1967-1969),Democrat
13327,"EDWARDS, William Donlon (Don)",California,90th Congress (1967-1969),Democrat
13328,"MOSS, John Emerson",California,90th Congress (1967-1969),Democrat
13329,"ROSENTHAL, Benjamin Stanley",New York,90th Congress (1967-1969),Democrat
13330,"DOW, John Goodchild",New York,90th Congress (1967-1969),Democrat
13331,"FARBSTEIN, Leonard",New York,90th Congress (1967-1969),Democrat
13332,"MULTER, Abraham Jacob",New York,90th Congress (1967-1969),Democrat
13333,"ECKHARDT, Robert Christian",Texas,90th Congress (1967-1969),Democrat
13334,"DIGGS, Charles Coles, Jr.",Michigan,90th Congress (1967-1969),Democrat
13335,"GONZÁLEZ, Henry B.",Texas,90th Congress (1967-1969),Democrat
13336,"NIX, Robert Nelson Cornelius, Sr.",Pennsylvania,90th Congress (1967-1969),Democrat
13337,"CORMAN, James Charles",California,90th Congress (1967-1969),Democrat
13338,"DAWSON, William Levi",Illinois,90th Congress (1967-1969),Democrat
13339,"RESNICK, Joseph Yale",New York,90th Congress (1967-1969),Democrat
13340,"COHELAN, Jeffery",California,90th Congress (1967-1969),Democrat
13341,"HAWKINS, Augustus Freeman (Gus)",California,90th Congress (1967-1969),Democrat
13342,"FORD, William David",Michigan,90th Congress (1967-1969),Democrat
13343,"KASTENMEIER, Robert William",Wisconsin,90th Congress (1967-1969),Democrat
13344,"MINK, Patsy Takemoto",Hawaii,90th Congress (1967-1969),Democrat
13345,"O'HARA, Barratt",Illinois,90th Congress (1967-1969),Democrat
13346,"THOMPSON, Frank, Jr.",New Jersey,90th Congress (1967-1969),Democrat
13347,"BINGHAM, Jonathan Brewster",New York,90th Congress (1967-1969),Democrat
13348,"BROWN, George Edward, Jr.",California,90th Congress (1967-1969),Democrat
13349,"RONAN, Daniel John",Illinois,90th Congress (1967-1969),Democrat
13350,"WALDIE, Jerome Russell",California,90th Congress (1967-1969),Democrat
13351,"BOLLING, Richard Walker",Missouri,90th Congress (1967-1969),Democrat
13352,"OLSEN, Arnold",Montana,90th Congress (1967-1969),Democrat
13353,"YATES, Sidney Richard",Illinois,90th Congress (1967-1969),Democrat
13354,"KARSTEN, Frank Melvin",Missouri,90th Congress (1967-1969),Democrat
13355,"GILBERT, Jacob H.",New York,90th Congress (1967-1969),Democrat
13356,"HELSTOSKI, Henry",New Jersey,90th Congress (1967-1969),Democrat
13357,"REES, Thomas Mankell",California,90th Congress (1967-1969),Democrat
13358,"REUSS, Henry Schoellkopf",Wisconsin,90th Congress (1967-1969),Democrat
13359,"BLATNIK, John Anton",Minnesota,90th Congress (1967-1969),Democrat
13360,"HOLLAND, Elmer Joseph",Pennsylvania,90th Congress (1967-1969),Democrat
13361,"SCHEUER, James Haas",New York,90th Congress (1967-1969),Democrat
13362,"BARRETT, William Aloysius",Pennsylvania,90th Congress (1967-1969),Democrat
13363,"FRASER, Donald MacKay",Minnesota,90th Congress (1967-1969),Democrat
13364,"PODELL, Bertram L.",New York,90th Congress (1967-1969),Democrat
13365,"LEGGETT, Robert Louis",California,90th Congress (1967-1969),Democrat
13366,"McFALL, John Joseph",California,90th Congress (1967-1969),Democrat
13367,"KING, Cecil Rhodes",California,90th Congress (1967-1969),Democrat
13368,"HOLIFIELD, Chester Earl",California,90th Congress (1967-1969),Democrat
13369,"HATHAWAY, William Dodd",Maine,90th Congress (1967-1969),Democrat
13370,"BRADEMAS, John",Indiana,90th Congress (1967-1969),Democrat
13371,"CELLER, Emanuel",New York,90th Congress (1967-1969),Democrat
13372,"MEEDS, Edwin Lloyd",Washington,90th Congress (1967-1969),Democrat
13373,"O'HARA, James Grant",Michigan,90th Congress (1967-1969),Democrat
13374,"DINGELL, John David, Jr.",Michigan,90th Congress (1967-1969),Democrat
13375,"EILBERG, Joshua",Pennsylvania,90th Congress (1967-1969),Democrat
13376,"GALLAGHER, Cornelius Edward",New Jersey,90th Congress (1967-1969),Democrat
13377,"JOHNSON, Harold Terry",California,90th Congress (1967-1969),Democrat
13378,"BYRNE, James Aloysius",Pennsylvania,90th Congress (1967-1969),Democrat
13379,"RODINO, Peter Wallace, Jr.",New Jersey,90th Congress (1967-1969),Democrat
13380,"HOWARD, James John",New Jersey,90th Congress (1967-1969),Democrat
13381,"PRICE, Charles Melvin",Illinois,90th Congress (1967-1969),Democrat
13382,"NEDZI, Lucien Norbert",Michigan,90th Congress (1967-1969),Democrat
13383,"MILLER, George Paul",California,90th Congress (1967-1969),Democrat
13384,"PATTEN, Edward James",New Jersey,90th Congress (1967-1969),Democrat
13385,"BRASCO, Frank James",New York,90th Congress (1967-1969),Democrat
13386,"MADDEN, Ray John",Indiana,90th Congress (1967-1969),Democrat
13387,"PEPPER, Claude Denson",Florida,90th Congress (1967-1969),Democrat
13388,"MURPHY, William Thomas",Illinois,90th Congress (1967-1969),Democrat
13389,"ST. ONGE, William Leon",Connecticut,90th Congress (1967-1969),Democrat
13390,"MOORHEAD, William Singer",Pennsylvania,90th Congress (1967-1969),Democrat
13391,"GREEN, William Joseph",Pennsylvania,90th Congress (1967-1969),Democrat
13392,"HICKS, Floyd Verne",Washington,90th Congress (1967-1969),Democrat
13393,"CULVER, John Chester",Iowa,90th Congress (1967-1969),Democrat
13394,"BROOKS, Jack Bascom",Texas,90th Congress (1967-1969),Democrat
13395,"MURPHY, John Michael",New York,90th Congress (1967-1969),Democrat
13396,"ADDABBO, Joseph Patrick",New York,90th Congress (1967-1969),Democrat
13397,"O'NEILL, Thomas Philip, Jr. (Tip)",Massachusetts,90th Congress (1967-1969),Democrat
13398,"VAN DEERLIN, Lionel",California,90th Congress (1967-1969),Democrat
13399,"BURKE, James Anthony",Massachusetts,90th Congress (1967-1969),Democrat
13400,"FASCELL, Dante Bruno",Florida,90th Congress (1967-1969),Democrat
13401,"ANNUNZIO, Frank",Illinois,90th Congress (1967-1969),Democrat
13402,"PATMAN, John William Wright",Texas,90th Congress (1967-1969),Democrat
13403,"TENZER, Herbert",New York,90th Congress (1967-1969),Democrat
13404,"ADAMS, Brockman (Brock)",Washington,90th Congress (1967-1969),Democrat
13405,"MORGAN, Thomas Ellsworth",Pennsylvania,90th Congress (1967-1969),Democrat
13406,"TIERNAN, Robert Owens",Rhode Island,90th Congress (1967-1969),Democrat
13407,"HANSEN, Julia Butler",Washington,90th Congress (1967-1969),Democrat
13408,"ALBERT, Carl Bert",Oklahoma,90th Congress (1967-1969),Democrat
13409,"OTTINGER, Richard Lawrence",New York,90th Congress (1967-1969),Democrat
13410,"ROSTENKOWSKI, Daniel David",Illinois,90th Congress (1967-1969),Democrat
13411,"WILSON, Charles Herbert",California,90th Congress (1967-1969),Democrat
13412,"SISK, Bernice Frederic",California,90th Congress (1967-1969),Democrat
13413,"UDALL, Morris King",Arizona,90th Congress (1967-1969),Democrat
13414,"SULLIVAN, Leonor Kretzer",Missouri,90th Congress (1967-1969),Democrat
13415,"KARTH, Joseph Edward",Minnesota,90th Congress (1967-1969),Democrat
13416,"DANIELS, Dominick Vincent",New Jersey,90th Congress (1967-1969),Democrat
13417,"ROONEY, John James",New York,90th Congress (1967-1969),Democrat
13418,"DENT, John Herman",Pennsylvania,90th Congress (1967-1969),Democrat
13419,"WRIGHT, James Claude, Jr.",Texas,90th Congress (1967-1969),Democrat
13420,"KLUCZYNSKI, John Carl",Illinois,90th Congress (1967-1969),Democrat
13421,"KIRWAN, Michael Joseph",Ohio,90th Congress (1967-1969),Democrat
13422,"MATSUNAGA, Spark Masayuki",Hawaii,90th Congress (1967-1969),Democrat
13423,"FLOOD, Daniel John",Pennsylvania,90th Congress (1967-1969),Democrat
13424,"RHODES, George Milton",Pennsylvania,90th Congress (1967-1969),Democrat
13425,"FRIEDEL, Samuel Nathaniel",Maryland,90th Congress (1967-1969),Democrat
13426,"ULLMAN, Albert Conrad",Oregon,90th Congress (1967-1969),Democrat
13427,"VANIK, Charles Albert",Ohio,90th Congress (1967-1969),Democrat
13428,"KEE, James",West Virginia,90th Congress (1967-1969),Democrat
13429,"GRAY, Kenneth James",Illinois,90th Congress (1967-1969),Democrat
13430,"DADDARIO, Emilio Quincy",Connecticut,90th Congress (1967-1969),Democrat
13431,"KYROS, Peter Nicholas",Maine,90th Congress (1967-1969),Democrat
13432,"JONES, Robert Emmett, Jr.",Alabama,90th Congress (1967-1969),Democrat
13433,"KELLY, Edna Flannery",New York,90th Congress (1967-1969),Democrat
13434,"ANDERSON, William Robert",Tennessee,90th Congress (1967-1969),Democrat
13435,"ST. GERMAIN, Fernand Joseph",Rhode Island,90th Congress (1967-1969),Democrat
13436,"ZABLOCKI, Clement John",Wisconsin,90th Congress (1967-1969),Democrat
13437,"FOLEY, Thomas Stephen",Washington,90th Congress (1967-1969),Democrat
13438,"CAREY, Hugh Leo",New York,90th Congress (1967-1969),Democrat
13439,"ASHLEY, Thomas William Ludlow",Ohio,90th Congress (1967-1969),Democrat
13440,"ROONEY, Frederick Bernard",Pennsylvania,90th Congress (1967-1969),Democrat
13441,"BOGGS, Thomas Hale, Sr.",Louisiana,90th Congress (1967-1969),Democrat
13442,"HANNA, Richard Thomas",California,90th Congress (1967-1969),Democrat
13443,"STAGGERS, Harley Orrin",West Virginia,90th Congress (1967-1969),Democrat
13444,"FOGARTY, John Edward",Rhode Island,90th Congress (1967-1969),Democrat
13445,"GRIFFITHS, Martha Wright",Michigan,90th Congress (1967-1969),Democrat
13446,"EVINS, Joseph Landon",Tennessee,90th Congress (1967-1969),Democrat
13447,"PERKINS, Carl Dewey",Kentucky,90th Congress (1967-1969),Democrat
13448,"YOUNG, John Andrew",Texas,90th Congress (1967-1969),Democrat
13449,"EDMONDSON, Edmond Augustus",Oklahoma,90th Congress (1967-1969),Democrat
13450,"FULTON, Richard Harmon",Tennessee,90th Congress (1967-1969),Democrat
13451,"HUNGATE, William Leonard",Missouri,90th Congress (1967-1969),Democrat
